ID,SMILES,ADMET_Solubility_Level,ADMET_Unknown_AlogP98,ADMET_BBB_Level,ADMET_EXT_CYP2D6#Prediction,ADMET_EXT_Hepatotoxic#Prediction,ADMET_Absorption_Level,ADMET_EXT_PPB#Prediction
sp83,Oc1cc(-c2ccc3c(nc(OCC45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,1,0,4,TRUE,TRUE,1,TRUE
sp84,Cc1cc(N)c(F)c(C2Cc3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4CC5NC(C4)C=C5)c3CO2)c1C(F)(F)F,0,0,2,TRUE,FALSE,0,TRUE
sp85,C[C@@]12CCCN(C1)c1nc(OC[C@@]34CCCN3C[C@H](F)C4)nc3c(F)c(ncc13)-c1cc(O)cc3cccc(CCCC(=O)N2)c13,0,0,4,FALSE,FALSE,2,TRUE
sp86,CC1CC[C@@]2(COc3nc4N5C[C@H]6CC[C@H](N6)[C@H]5[C@H](C)Oc5nc(c(F)c(n3)c45)-c3cc(N)c(F)c(C)c3C(F)(F)F)C[C@@H](F)CN12,0,0,4,TRUE,FALSE,2,TRUE
sp87,C[C@@H]1Oc2nc(c(F)c3nc(OCCCN4C[C@H]5C[C@@H]4CO5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp88,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(F)c1CC(F)F,0,0,4,TRUE,TRUE,1,TRUE
sp89,C[C@@H]1Oc2c(Cl)c(-c3nc(N)ccc3C(F)(F)F)c(F)c3nc(OC[C@@]45CCN4C[C@]4(CC4(F)F)C5)nc(c23)N2C[C@H]3CC[C@H](N3)[C@@H]12,0,0,4,TRUE,FALSE,2,TRUE
sp90,Cc1cc(N)nc(-c2c(Cl)c3c4c(nc(OCC56CCN5C[C@@]5(C6)CC5(F)F)nc4c2F)N2C[C@H]4CC[C@H](N4)[C@H]2[C@H](C)O3)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp91,Cc1cc(N)nc(-c2c(Cl)c3c4c(nc(OCC56CCN5C[C@]5(C6)CC5(F)F)nc4c2F)N2C[C@H]4CC[C@H](N4)[C@H]2[C@H](C)O3)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp92,C[C@@H]1CC[C@@H]2[C@@H]3CC[C@H](CN2c2nc(OC[C@@]45CCCN4[C@H](COc4cc(ncn4)C(F)(F)F)CC5)nc4c(F)c(nc1c24)-c1cccc2ccc(F)c(C#C)c12)N3,0,0,4,TRUE,TRUE,3,TRUE
sp93,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@]45CCCN4C\C(C5)=C/F)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp94,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@H]4C[C@@H]5C[N@]4CCO5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,1,TRUE
sp95,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@H]4C[C@@H](F)[C@H]5CCCN45)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,TRUE,2,TRUE
sp96,C[C@@H]1CN(CC2(COc3nc4N5C[C@H]6CC[C@H](N6)[C@H]5[C@H](C)Oc5nc(c(F)c(n3)c45)-c3cc(N)c(F)c(C)c3C(F)(F)F)CC2)CCO1,0,0,4,TRUE,FALSE,2,TRUE
sp97,Oc1cc(-c2nc3OC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OC[C@@]67CCCN6C[C@H](F)C7)nc(c2F)c34)N5)c2c(F)cccc2c1,0,0,4,TRUE,TRUE,1,TRUE
sp98,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@]45CCN4CC(F)(F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(O)cc2cccc(C#C)c12,0,0,4,TRUE,TRUE,2,TRUE
sp99,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1CC(F)F,0,0,4,FALSE,TRUE,2,TRUE
sp100,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1Cl,0,0,4,TRUE,TRUE,2,TRUE
sp101,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@H]4[C@@H](O)CCN4C)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp102,C[C@@H]1Oc2nc(c(Cl)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(Cl)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
